borough_code,borough_name,value_2001,value_2017,category,pct_change
E09000001,City of London,5.0,15.0,clubs_workplaces,2.0
E09000012,Hackney,10.0,15.0,clubs_workplaces,0.5
E09000016,Havering,20.0,20.0,clubs_workplaces,0.0
E09000024,Merton,10.0,10.0,clubs_workplaces,0.0
E09000027,Richmond upon Thames,15.0,15.0,clubs_workplaces,0.0
E09000029,Sutton,10.0,10.0,clubs_workplaces,0.0
E09000030,Tower Hamlets,10.0,10.0,clubs_workplaces,0.0
E09000004,Bexley,25.0,20.0,clubs_workplaces,-0.2
E09000010,Enfield,20.0,15.0,clubs_workplaces,-0.25
E09000011,Greenwich,20.0,15.0,clubs_workplaces,-0.25
E09000013,Hammersmith and Fulham,20.0,15.0,clubs_workplaces,-0.25
E09000022,Lambeth,20.0,15.0,clubs_workplaces,-0.25
E09000023,Lewisham,20.0,15.0,clubs_workplaces,-0.25
E09000031,Waltham Forest,20.0,15.0,clubs_workplaces,-0.25
E09000033,Westminster,145.0,100.0,clubs_workplaces,-0.3103448275862069
E09000009,Ealing,30.0,20.0,clubs_workplaces,-0.3333333333333333
E09000014,Haringey,15.0,10.0,clubs_workplaces,-0.3333333333333333
E09000017,Hillingdon,30.0,20.0,clubs_workplaces,-0.3333333333333333
E09000018,Hounslow,30.0,20.0,clubs_workplaces,-0.3333333333333333
E09000020,Kensington and Chelsea,30.0,20.0,clubs_workplaces,-0.3333333333333333
E09000032,Wandsworth,30.0,20.0,clubs_workplaces,-0.3333333333333333
E09000008,Croydon,40.0,25.0,clubs_workplaces,-0.375
E09000028,Southwark,25.0,15.0,clubs_workplaces,-0.4
E09000006,Bromley,35.0,20.0,clubs_workplaces,-0.42857142857142855
E09000007,Camden,35.0,20.0,clubs_workplaces,-0.42857142857142855
E09000002,Barking and Dagenham,20.0,10.0,clubs_workplaces,-0.5
E09000019,Islington,20.0,10.0,clubs_workplaces,-0.5
E09000021,Kingston upon Thames,20.0,10.0,clubs_workplaces,-0.5
E09000025,Newham,20.0,10.0,clubs_workplaces,-0.5
E09000026,Redbridge,20.0,10.0,clubs_workplaces,-0.5
E09000015,Harrow,25.0,10.0,clubs_workplaces,-0.6
E09000005,Brent,40.0,15.0,clubs_workplaces,-0.625
E09000003,Barnet,30.0,10.0,clubs_workplaces,-0.6666666666666666
E09000012,Hackney,600.0,4700.0,licensed_food_employment,6.833333333333333
E09000025,Newham,400.0,2300.0,licensed_food_employment,4.75
E09000030,Tower Hamlets,1300.0,5200.0,licensed_food_employment,3.0
E09000011,Greenwich,700.0,2000.0,licensed_food_employment,1.8571428571428572
E09000001,City of London,2400.0,6800.0,licensed_food_employment,1.8333333333333333
E09000028,Southwark,1900.0,5100.0,licensed_food_employment,1.6842105263157894
E09000013,Hammersmith and Fulham,1400.0,3700.0,licensed_food_employment,1.6428571428571428
E09000019,Islington,2000.0,5000.0,licensed_food_employment,1.5
E09000005,Brent,800.0,1900.0,licensed_food_employment,1.375
E09000014,Haringey,600.0,1400.0,licensed_food_employment,1.3333333333333333
E09000022,Lambeth,1800.0,4100.0,licensed_food_employment,1.2777777777777777
E09000023,Lewisham,500.0,1100.0,licensed_food_employment,1.2
E09000031,Waltham Forest,500.0,1100.0,licensed_food_employment,1.2
E09000007,Camden,5000.0,10200.0,licensed_food_employment,1.04
E09000018,Hounslow,800.0,1600.0,licensed_food_employment,1.0
E09000032,Wandsworth,1700.0,3300.0,licensed_food_employment,0.9411764705882353
E09000024,Merton,800.0,1500.0,licensed_food_employment,0.875
E09000003,Barnet,1600.0,2900.0,licensed_food_employment,0.8125
E09000016,Havering,800.0,1400.0,licensed_food_employment,0.75
E09000017,Hillingdon,1700.0,2900.0,licensed_food_employment,0.7058823529411765
E09000033,Westminster,20500.0,33100.0,licensed_food_employment,0.6146341463414634
E09000009,Ealing,1200.0,1900.0,licensed_food_employment,0.5833333333333334
E09000006,Bromley,1400.0,2200.0,licensed_food_employment,0.5714285714285714
E09000015,Harrow,900.0,1400.0,licensed_food_employment,0.5555555555555556
E09000026,Redbridge,800.0,1200.0,licensed_food_employment,0.5
E09000020,Kensington and Chelsea,5200.0,7700.0,licensed_food_employment,0.4807692307692308
E09000021,Kingston upon Thames,1100.0,1600.0,licensed_food_employment,0.45454545454545453
E09000027,Richmond upon Thames,1500.0,2100.0,licensed_food_employment,0.4
E09000008,Croydon,1300.0,1800.0,licensed_food_employment,0.38461538461538464
E09000029,Sutton,600.0,800.0,licensed_food_employment,0.3333333333333333
E09000004,Bexley,800.0,1000.0,licensed_food_employment,0.25
E09000010,Enfield,1100.0,1300.0,licensed_food_employment,0.18181818181818182
E09000002,Barking and Dagenham,300.0,300.0,licensed_food_employment,0.0
E09000012,Hackney,95.0,285.0,licensed_food_workplaces,2.0
E09000025,Newham,45.0,125.0,licensed_food_workplaces,1.7777777777777777
E09000030,Tower Hamlets,135.0,320.0,licensed_food_workplaces,1.3703703703703705
E09000028,Southwark,130.0,295.0,licensed_food_workplaces,1.2692307692307692
E09000011,Greenwich,70.0,145.0,licensed_food_workplaces,1.0714285714285714
E09000023,Lewisham,70.0,130.0,licensed_food_workplaces,0.8571428571428571
E09000022,Lambeth,160.0,295.0,licensed_food_workplaces,0.84375
E09000019,Islington,205.0,370.0,licensed_food_workplaces,0.8048780487804879
E09000031,Waltham Forest,75.0,135.0,licensed_food_workplaces,0.8
E09000016,Havering,75.0,130.0,licensed_food_workplaces,0.7333333333333333
E09000014,Haringey,105.0,175.0,licensed_food_workplaces,0.6666666666666666
E09000018,Hounslow,90.0,150.0,licensed_food_workplaces,0.6666666666666666
E09000001,City of London,180.0,295.0,licensed_food_workplaces,0.6388888888888888
E09000005,Brent,120.0,190.0,licensed_food_workplaces,0.5833333333333334
E09000013,Hammersmith and Fulham,175.0,270.0,licensed_food_workplaces,0.5428571428571428
E09000015,Harrow,100.0,150.0,licensed_food_workplaces,0.5
E09000008,Croydon,145.0,205.0,licensed_food_workplaces,0.41379310344827586
E09000006,Bromley,145.0,200.0,licensed_food_workplaces,0.3793103448275862
E09000026,Redbridge,95.0,130.0,licensed_food_workplaces,0.3684210526315789
E09000007,Camden,445.0,600.0,licensed_food_workplaces,0.34831460674157305
E09000021,Kingston upon Thames,90.0,120.0,licensed_food_workplaces,0.3333333333333333
E09000003,Barnet,205.0,270.0,licensed_food_workplaces,0.3170731707317073
E09000009,Ealing,145.0,190.0,licensed_food_workplaces,0.3103448275862069
E09000032,Wandsworth,210.0,275.0,licensed_food_workplaces,0.30952380952380953
E09000004,Bexley,85.0,110.0,licensed_food_workplaces,0.29411764705882354
E09000017,Hillingdon,130.0,165.0,licensed_food_workplaces,0.2692307692307692
E09000010,Enfield,120.0,150.0,licensed_food_workplaces,0.25
E09000033,Westminster,1055.0,1270.0,licensed_food_workplaces,0.2037914691943128
E09000002,Barking and Dagenham,30.0,35.0,licensed_food_workplaces,0.16666666666666666
E09000024,Merton,105.0,120.0,licensed_food_workplaces,0.14285714285714285
E09000029,Sutton,85.0,95.0,licensed_food_workplaces,0.11764705882352941
E09000027,Richmond upon Thames,175.0,195.0,licensed_food_workplaces,0.11428571428571428
E09000020,Kensington and Chelsea,370.0,400.0,licensed_food_workplaces,0.08108108108108109
E09000025,Newham,8305.0,19420.0,nighttime_businesses_total,1.3383503913305237
E09000012,Hackney,13350.0,29825.0,nighttime_businesses_total,1.2340823970037453
E09000002,Barking and Dagenham,5540.0,11925.0,nighttime_businesses_total,1.1525270758122743
E09000031,Waltham Forest,9240.0,17645.0,nighttime_businesses_total,0.9096320346320347
E09000026,Redbridge,10735.0,20325.0,nighttime_businesses_total,0.8933395435491384
E09000011,Greenwich,9000.0,16850.0,nighttime_businesses_total,0.8722222222222222
E09000030,Tower Hamlets,14935.0,27295.0,nighttime_businesses_total,0.8275862068965517
E09000001,City of London,17940.0,32720.0,nighttime_businesses_total,0.8238573021181717
E09000023,Lewisham,9745.0,17070.0,nighttime_businesses_total,0.7516675218060543
E09000022,Lambeth,14570.0,25060.0,nighttime_businesses_total,0.7199725463280714
E09000015,Harrow,11915.0,20030.0,nighttime_businesses_total,0.6810742761225346
E09000028,Southwark,16570.0,27510.0,nighttime_businesses_total,0.660229330114665
E09000010,Enfield,12625.0,20535.0,nighttime_businesses_total,0.6265346534653465
E09000024,Merton,10755.0,17275.0,nighttime_businesses_total,0.606229660622966
E09000014,Haringey,12815.0,20360.0,nighttime_businesses_total,0.5887631681623098
E09000016,Havering,9990.0,15615.0,nighttime_businesses_total,0.5630630630630631
E09000009,Ealing,18490.0,28505.0,nighttime_businesses_total,0.5416441319632234
E09000018,Hounslow,14445.0,22150.0,nighttime_businesses_total,0.5334025614399446
E09000017,Hillingdon,14935.0,22430.0,nighttime_businesses_total,0.501841312353532
E09000004,Bexley,9360.0,14045.0,nighttime_businesses_total,0.500534188034188
E09000003,Barnet,22270.0,33230.0,nighttime_businesses_total,0.4921418949259093
E09000006,Bromley,15505.0,22990.0,nighttime_businesses_total,0.48274750080619155
E09000005,Brent,16360.0,23660.0,nighttime_businesses_total,0.44621026894865523
E09000019,Islington,20960.0,30025.0,nighttime_businesses_total,0.4324904580152672
E09000032,Wandsworth,19485.0,27770.0,nighttime_businesses_total,0.4251988709263536
E09000008,Croydon,16855.0,23750.0,nighttime_businesses_total,0.40907742509641054
E09000029,Sutton,9010.0,12615.0,nighttime_businesses_total,0.40011098779134296
E09000021,Kingston upon Thames,9700.0,13335.0,nighttime_businesses_total,0.3747422680412371
E09000007,Camden,34585.0,47425.0,nighttime_businesses_total,0.3712592164233049
E09000027,Richmond upon Thames,15425.0,20715.0,nighttime_businesses_total,0.34294975688816853
E09000013,Hammersmith and Fulham,16435.0,21690.0,nighttime_businesses_total,0.31974444782476424
E09000033,Westminster,67645.0,77825.0,nighttime_businesses_total,0.15049153669894302
E09000020,Kensington and Chelsea,21310.0,22030.0,nighttime_businesses_total,0.0337869544814641
E09000012,Hackney,700.0,2000.0,pub_employment,1.8571428571428572
E09000028,Southwark,1600.0,2600.0,pub_employment,0.625
E09000022,Lambeth,1300.0,2100.0,pub_employment,0.6153846153846154
E09000019,Islington,1600.0,2400.0,pub_employment,0.5
E09000032,Wandsworth,1400.0,2000.0,pub_employment,0.42857142857142855
E09000007,Camden,2600.0,3500.0,pub_employment,0.34615384615384615
E09000001,City of London,2100.0,2600.0,pub_employment,0.23809523809523808
E09000020,Kensington and Chelsea,1300.0,1600.0,pub_employment,0.23076923076923078
E09000004,Bexley,1000.0,1200.0,pub_employment,0.2
E09000030,Tower Hamlets,1000.0,1200.0,pub_employment,0.2
E09000033,Westminster,5300.0,6300.0,pub_employment,0.18867924528301888
E09000006,Bromley,1400.0,1600.0,pub_employment,0.14285714285714285
E09000011,Greenwich,800.0,900.0,pub_employment,0.125
E09000014,Haringey,800.0,900.0,pub_employment,0.125
E09000027,Richmond upon Thames,1500.0,1600.0,pub_employment,0.06666666666666667
E09000021,Kingston upon Thames,900.0,900.0,pub_employment,0.0
E09000013,Hammersmith and Fulham,1500.0,1400.0,pub_employment,-0.06666666666666667
E09000010,Enfield,1000.0,900.0,pub_employment,-0.1
E09000026,Redbridge,900.0,800.0,pub_employment,-0.1111111111111111
E09000023,Lewisham,800.0,700.0,pub_employment,-0.125
E09000017,Hillingdon,1400.0,1200.0,pub_employment,-0.14285714285714285
E09000029,Sutton,700.0,600.0,pub_employment,-0.14285714285714285
E09000025,Newham,600.0,500.0,pub_employment,-0.16666666666666666
E09000005,Brent,800.0,600.0,pub_employment,-0.25
E09000016,Havering,1200.0,900.0,pub_employment,-0.25
E09000024,Merton,800.0,600.0,pub_employment,-0.25
E09000003,Barnet,1400.0,1000.0,pub_employment,-0.2857142857142857
E09000015,Harrow,700.0,500.0,pub_employment,-0.2857142857142857
E09000018,Hounslow,1300.0,900.0,pub_employment,-0.3076923076923077
E09000009,Ealing,1400.0,900.0,pub_employment,-0.35714285714285715
E09000031,Waltham Forest,800.0,500.0,pub_employment,-0.375
E09000008,Croydon,1600.0,900.0,pub_employment,-0.4375
E09000002,Barking and Dagenham,500.0,200.0,pub_employment,-0.6
E09000012,Hackney,155.0,175.0,pub_workplaces,0.12903225806451613
E09000004,Bexley,95.0,95.0,pub_workplaces,0.0
E09000032,Wandsworth,150.0,130.0,pub_workplaces,-0.13333333333333333
E09000020,Kensington and Chelsea,140.0,120.0,pub_workplaces,-0.14285714285714285
E09000019,Islington,240.0,205.0,pub_workplaces,-0.14583333333333334
E09000033,Westminster,515.0,425.0,pub_workplaces,-0.17475728155339806
E09000001,City of London,200.0,160.0,pub_workplaces,-0.2
E09000007,Camden,295.0,235.0,pub_workplaces,-0.2033898305084746
E09000028,Southwark,220.0,175.0,pub_workplaces,-0.20454545454545456
E09000026,Redbridge,70.0,55.0,pub_workplaces,-0.21428571428571427
E09000029,Sutton,70.0,55.0,pub_workplaces,-0.21428571428571427
E09000027,Richmond upon Thames,160.0,125.0,pub_workplaces,-0.21875
E09000022,Lambeth,190.0,140.0,pub_workplaces,-0.2631578947368421
E09000006,Bromley,130.0,95.0,pub_workplaces,-0.2692307692307692
E09000013,Hammersmith and Fulham,145.0,105.0,pub_workplaces,-0.27586206896551724
E09000016,Havering,85.0,60.0,pub_workplaces,-0.29411764705882354
E09000021,Kingston upon Thames,95.0,65.0,pub_workplaces,-0.3157894736842105
E09000009,Ealing,145.0,95.0,pub_workplaces,-0.3448275862068966
E09000011,Greenwich,115.0,75.0,pub_workplaces,-0.34782608695652173
E09000023,Lewisham,110.0,70.0,pub_workplaces,-0.36363636363636365
E09000017,Hillingdon,135.0,85.0,pub_workplaces,-0.37037037037037035
E09000018,Hounslow,130.0,80.0,pub_workplaces,-0.38461538461538464
E09000014,Haringey,115.0,70.0,pub_workplaces,-0.391304347826087
E09000015,Harrow,75.0,45.0,pub_workplaces,-0.4
E09000024,Merton,75.0,45.0,pub_workplaces,-0.4
E09000003,Barnet,135.0,80.0,pub_workplaces,-0.4074074074074074
E09000030,Tower Hamlets,205.0,120.0,pub_workplaces,-0.4146341463414634
E09000005,Brent,120.0,70.0,pub_workplaces,-0.4166666666666667
E09000010,Enfield,120.0,65.0,pub_workplaces,-0.4583333333333333
E09000008,Croydon,165.0,85.0,pub_workplaces,-0.48484848484848486
E09000031,Waltham Forest,90.0,45.0,pub_workplaces,-0.5
E09000025,Newham,105.0,50.0,pub_workplaces,-0.5238095238095238
E09000002,Barking and Dagenham,45.0,20.0,pub_workplaces,-0.5555555555555556
E09000004,Bexley,55.0,55.0,small_pub_workplaces,0.0
E09000029,Sutton,35.0,30.0,small_pub_workplaces,-0.14285714285714285
E09000016,Havering,35.0,25.0,small_pub_workplaces,-0.2857142857142857
E09000012,Hackney,145.0,100.0,small_pub_workplaces,-0.3103448275862069
E09000026,Redbridge,30.0,20.0,small_pub_workplaces,-0.3333333333333333
