lsoa_code,lsoa_name,crime_total,crime_violence,crime_robbery,crime_asb,crime_severity_proxy,lighting_level,fully_lit_share_proxy,safety_index,visibility_index
E01004734,Westminster 018A,9002,3888,1177,2178,10018.0,,,0.0,
E01035716,Westminster 013G,7723,2691,1629,2278,8640.75,,,0.13748783348723448,
E01004763,Westminster 013B,6772,2669,1665,1514,7893.25,,,0.21210911178217573,
E01032739,City of London 001F,6379,3477,440,507,7341.5,,,0.2671890988045621,
E01004736,Westminster 018C,6710,2590,877,2079,7276.25,,,0.27370286256208043,
E01002444,Hillingdon 031A,6801,2251,30,3457,6514.5,,,0.34974668696498545,
E01002968,Kingston upon Thames 009C,4618,1741,228,1611,4764.5,,,0.5244453318026405,
E01003047,Lambeth 011B,4157,1593,369,1303,4414.0,,,0.5594349746686965,
E01000863,Camden 021A,3408,1359,373,1048,3672.25,,,0.6334822431305998,
E01003013,Lambeth 036A,3265,1496,218,972,3505.0,,,0.650178442187227,
E01001943,Hammersmith and Fulham 004A,3197,1297,292,1030,3409.75,,,0.659687039856248,
E01004735,Westminster 018B,3211,932,248,1466,3201.5,,,0.6804761785919289,
E01004761,Westminster 018D,2834,1069,389,945,3059.5,,,0.6946517257730416,
E01001898,Hammersmith and Fulham 013C,2917,1190,86,998,3008.0,,,0.6997928573211211,
E01034220,Newham 039D,2654,1162,344,698,2942.0,,,0.7063814919264269,
E01002770,Islington 004B,2689,1352,119,703,2910.75,,,0.7095011105842421,
E01033708,Hackney 033C,2533,1187,356,636,2848.75,,,0.7156904340013477,
E01003770,Redbridge 022B,2427,1851,15,206,2845.75,,,0.715989917392498,
E01004733,Westminster 020C,2675,1210,120,856,2823.5,,,0.7182110858768624,
E01002356,Havering 013C,2583,1246,152,642,2810.0,,,0.7195587611370386,
E01035711,Camden 026E,2610,1001,214,888,2745.25,,,0.7260226109960318,
E01004714,Westminster 011B,2423,726,393,905,2574.75,,,0.743043250393072,
E01034188,Greenwich 040A,2368,1189,127,709,2551.5,,,0.7453642466744865,
E01001361,Ealing 023E,2446,918,170,1008,2508.5,,,0.7496568419476404,
E01002129,Harrow 023C,2497,814,144,1099,2497.75,,,0.7507299907659288,
E01001429,Enfield 030D,2433,836,186,957,2495.75,,,0.750929646360029,
E01000919,Camden 028D,2422,638,279,1120,2441.0,,,0.7563952182485213,
E01035718,Westminster 019G,2125,1035,264,413,2412.5,,,0.7592403104644488,
E01004067,Southwark 022E,2364,810,183,1023,2402.25,,,0.7602635453842123,
E01002734,Islington 005B,2322,767,267,1005,2396.0,,,0.7608874691157753,
E01033083,Hounslow 018F,2388,728,120,1092,2357.0,,,0.7647807532007287,
E01034030,Ealing 042A,2236,754,135,958,2252.5,,,0.775212757992463,
E01004765,Westminster 013D,2113,724,283,748,2248.5,,,0.7756120691806634,
E01002521,Hillingdon 016C,2166,821,102,699,2247.5,,,0.7757118969777135,
E01002034,Haringey 037A,2253,726,132,1077,2231.25,,,0.7773340986797774,
E01032582,Lambeth 036E,2031,680,326,641,2203.75,,,0.7800793630986549,
E01004397,Waltham Forest 017C,2142,626,154,965,2134.25,,,0.787017394993636,
E01032771,Tower Hamlets 033B,2087,733,111,864,2109.75,,,0.7894631760213632,
E01004525,Wandsworth 035A,2040,729,158,781,2106.0,,,0.789837530260301,
E01002029,Haringey 016B,2015,747,172,749,2100.5,,,0.7903865831440765,
E01003929,Southwark 002B,1894,650,302,632,2049.5,,,0.795477800793631,
E01000914,Camden 028B,2048,610,149,916,2046.0,,,0.7958271980833063,
E01034473,Barking and Dagenham 015E,1915,726,190,629,2034.25,,,0.7970001746986448,
E01033942,Brent 035D,1815,1018,74,374,2013.0,,,0.7991215153859592,
E01004750,Westminster 023E,2062,573,123,1037,2007.5,,,0.7996705682697347,
E01001013,Croydon 020B,1885,752,174,620,2005.0,,,0.7999201377623599,
E01034150,Croydon 046D,1944,728,133,774,1999.0,,,0.8005191045446605,
E01002704,Islington 023D,1793,638,342,558,1984.0,,,0.8020165215004118,
E01003689,Redbridge 039C,1724,830,204,295,1959.75,,,0.8044373455788765,
E01004208,Tower Hamlets 013C,1835,826,78,502,1955.0,,,0.8049115276148644,
E01002412,Hillingdon 017B,1721,1136,19,256,1950.5,,,0.8053607527015898,
E01003318,Lewisham 020B,1821,772,134,592,1933.0,,,0.8071077391499664,
E01003521,Newham 018B,1902,559,187,869,1918.0,,,0.8086051561057177,
E01001247,Ealing 015E,1895,714,56,760,1911.5,,,0.8092540367865432,
E01035670,Tower Hamlets 010G,1716,970,87,363,1911.25,,,0.8092789937358057,
E01004731,Westminster 020A,1960,500,115,956,1903.5,,,0.8100526591629439,
E01032741,Havering 013E,1808,632,131,693,1858.25,,,0.8145698669794604,
E01034149,Croydon 046C,1763,720,108,574,1853.5,,,0.8150440490154484,
E01000947,Camden 021C,1803,605,173,757,1851.5,,,0.8152437046095485,
E01034145,Croydon 024G,1718,634,164,584,1812.5,,,0.819136988694502,
E01004661,Westminster 012C,1847,486,120,953,1790.25,,,0.8213581571788664,
E01000918,Camden 028C,1887,476,94,1078,1783.5,,,0.8220319948089545,
E01002681,Hounslow 014C,1543,1084,7,188,1770.5,,,0.8233297561706057,
E01033589,Redbridge 039B,1758,615,69,840,1736.25,,,0.8267488582195712,
E01033327,Lewisham 041B,1501,892,85,154,1728.0,,,0.8275724375452345,
E01001249,Ealing 028A,1861,453,57,1136,1718.75,,,0.8284958446679478,
E01000524,Brent 031B,1686,535,144,734,1708.25,,,0.8295440365369737,
E01000855,Camden 028A,1656,460,198,716,1691.0,,,0.8312660660360878,
E01001729,Hackney 019A,1505,923,41,283,1685.5,,,0.8318151189198633,
E01003783,Redbridge 029A,1594,664,105,561,1672.25,,,0.833137837230777,
E01000676,Bromley 008B,1534,697,107,389,1664.5,,,0.8339115026579151,
E01003076,Lambeth 014C,1453,917,58,195,1662.5,,,0.8341111582520153,
E01000850,Camden 026A,1607,426,209,655,1654.25,,,0.8349347375776786,
E01033699,Hackney 030A,1620,517,122,667,1643.5,,,0.836007886395967,
E01003291,Lewisham 041D,1408,976,19,131,1628.75,,,0.8374803464024558,
E01001760,Hackney 017C,1498,579,157,480,1601.25,,,0.8402256108213332,
E01033594,Westminster 015G,1509,657,81,473,1595.5,,,0.8407996206543712,
E01001857,Hammersmith and Fulham 007D,1624,488,87,830,1582.0,,,0.8421472959145474,
E01004658,Westminster 012B,1460,486,229,461,1580.75,,,0.84227208066086,
