source,dimension,profile_group,profile_label,profile_category,value
night_workers_demographics,ethnic_group,2017 numbers,workers at night,BAME | male,146000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night,BAME | female,84000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night,BAME | all,230000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night,All | male,419000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night,All | female,197000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night,All | all,616000.0
night_workers_demographics,ethnic_group,2017 numbers,workers in the evening,BAME | male,305000.0
night_workers_demographics,ethnic_group,2017 numbers,workers in the evening,BAME | female,213000.0
night_workers_demographics,ethnic_group,2017 numbers,workers in the evening,BAME | all,518000.0
night_workers_demographics,ethnic_group,2017 numbers,workers in the evening,All | male,959000.0
night_workers_demographics,ethnic_group,2017 numbers,workers in the evening,All | female,590000.0
night_workers_demographics,ethnic_group,2017 numbers,workers in the evening,All | all,1549000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night or in the evening,BAME | male,325000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night or in the evening,BAME | female,224000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night or in the evening,BAME | all,550000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night or in the evening,All | male,1011000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night or in the evening,All | female,612000.0
night_workers_demographics,ethnic_group,2017 numbers,workers at night or in the evening,All | all,1622000.0
night_workers_demographics,ethnic_group,2017 numbers,all workers,BAME | male,896000.0
night_workers_demographics,ethnic_group,2017 numbers,all workers,BAME | female,738000.0
night_workers_demographics,ethnic_group,2017 numbers,all workers,BAME | all,1634000.0
night_workers_demographics,ethnic_group,2017 numbers,all workers,All | male,2990000.0
night_workers_demographics,ethnic_group,2017 numbers,all workers,All | female,2302000.0
night_workers_demographics,ethnic_group,2017 numbers,all workers,All | all,5292000.0
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night,BAME | male,0.34413007651017824
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night,BAME | female,0.809004647974811
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night,BAME | all,0.48388280746941414
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night,All | male,0.26744316137362145
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night,All | female,0.5623919696801509
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night,All | all,0.3488712653692001
night_workers_demographics,ethnic_group,% change in workers since 2011,workers in the evening,BAME | male,0.319860177978897
night_workers_demographics,ethnic_group,% change in workers since 2011,workers in the evening,BAME | female,0.7615952097393146
night_workers_demographics,ethnic_group,% change in workers since 2011,workers in the evening,BAME | all,0.4715690089557836
night_workers_demographics,ethnic_group,% change in workers since 2011,workers in the evening,All | male,0.2404788108358369
night_workers_demographics,ethnic_group,% change in workers since 2011,workers in the evening,All | female,0.34087456794615245
night_workers_demographics,ethnic_group,% change in workers since 2011,workers in the evening,All | all,0.27687593414393463
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night or in the evening,BAME | male,0.2733978485366684
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night or in the evening,BAME | female,0.7324285283916667
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night or in the evening,BAME | all,0.42774620523423135
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night or in the evening,All | male,0.22904375681819
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night or in the evening,All | female,0.34229726912653735
night_workers_demographics,ethnic_group,% change in workers since 2011,workers at night or in the evening,All | all,0.2694293422975922
night_workers_demographics,ethnic_group,% change in workers since 2011,all workers,BAME | male,0.30415971923897445
night_workers_demographics,ethnic_group,% change in workers since 2011,all workers,BAME | female,0.3702479185423764
night_workers_demographics,ethnic_group,% change in workers since 2011,all workers,BAME | all,0.33321228343629383
night_workers_demographics,ethnic_group,% change in workers since 2011,all workers,All | male,0.22664167781947153
night_workers_demographics,ethnic_group,% change in workers since 2011,all workers,All | female,0.28452391115962006
night_workers_demographics,ethnic_group,% change in workers since 2011,all workers,All | all,0.251167582109046
night_workers_demographics,ethnic_group,share of all workers in 2017,workers at night,BAME | male,0.16301295371789903
night_workers_demographics,ethnic_group,share of all workers in 2017,workers at night,BAME | female,0.11441991405331296
night_workers_demographics,ethnic_group,share of all workers in 2017,workers at night,BAME | all,0.1410579021304336
night_workers_demographics,ethnic_group,share of all workers in 2017,workers at night,All | male,0.1402002167398052
night_workers_demographics,ethnic_group,share of all workers in 2017,workers at night,All | female,0.08559990130372909
night_workers_demographics,ethnic_group,share of all workers in 2017,workers at night,All | all,0.11644813873311247
night_workers_demographics,ethnic_group,share of all workers in 2017,workers in the evening,BAME | male,0.34066123029613443
night_workers_demographics,ethnic_group,share of all workers in 2017,workers in the evening,BAME | female,0.2885635631567254
night_workers_demographics,ethnic_group,share of all workers in 2017,workers in the evening,BAME | all,0.317122736356931
